INDEX_NR
INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,PERSON
1605289,10/09/2024,9,2024,21:27,Night,KMIA,MIAMI INTL,UNK,UNKNOWN,,,UNKNOWN,,,,,,,,,,,,,Climb,2000,,2,Some Cloud,Rain,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1610142,02/07/2024,7,2024,18:20,Day,KMIA,MIAMI INTL,TSC,AIR TRANSAT,C-GOIM,119,A-321,04A,7,34,,A  ,4,D,2,1,1,,,Climb,,,0,,,,0,0,N,UNKB,Unknown bird,0,1,0,Unknown,,02-oct,,Tower
1610500,21/05/2024,5,2024,11:00,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N233NN,3755,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,100,140,5,No Cloud,,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1610504,22/08/2024,8,2024,23:20,Night,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N568UW,1227,A-321,04A,7,23,1,A  ,4,D,2,1,1,,,Approach,2000,150,7,No Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,No,,1,Small,Pilot
1610505,13/05/2024,5,2024,16:30,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N318TD,1400,B-737-8,148,,10,,A  ,4,D,2,1,1,,,Approach,800,144,2,No Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,1,1,Small,Pilot
1610506,10/06/2024,6,2024,19:50,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N892NN,291,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Take-off Run,0,140,0,No Cloud,,,0,0,N,UNKB,Unknown bird,0,1,0,No,1,1,,Pilot
1610507,23/07/2024,7,2024,09:00,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N318JE,3386,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,50,125,0,Some Cloud,None,1,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,1,1,Small,Pilot
1610509,17/08/2024,8,2024,12:07,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N923NN,2241,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Take-off Run,0,151,0,No Cloud,None,,0,0,N,UNKBS,Unknown bird - small,0,0,0,No,1,1,Small,Other
1610511,19/08/2024,8,2024,18:10,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N418AN,1405,A-321,04A,7,10,,A  ,4,D,2,1,1,,,Approach,10,135,0,Some Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,1,1,,Pilot
1610512,24/08/2024,8,2024,08:52,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N220NN,3371,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Take-off Run,0,130,0,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,Yes,1,1,,Pilot
